PVout_norm,price_norm,imb_norm,SOC_before,CumRev_DP_norm,sin_t,cos_t,action_kW,CumRev_Optimal,CumRev_Baseline
0.0,0.11225000023841858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.11354999989271164,0.0,0.0,0.0,0.13052618503570557,0.9914448857307434,0.0,0.0,0.0
0.0,0.10930000245571136,0.0,0.0,0.0,0.258819043636322,0.9659258127212524,0.0,0.0,0.0
0.0,0.10930000245571136,0.0,0.0,0.0,0.3826834261417389,0.9238795042037964,0.0,0.0,0.0
0.0,0.10930000245571136,0.0,0.0,0.0,0.5,0.8660253882408142,0.0,0.0,0.0
0.0,0.10894999653100967,0.0,0.0,0.0,0.6087614297866821,0.7933533191680908,0.0,0.0,0.0
0.0,0.10930000245571136,0.0,0.0,0.0,0.7071067690849304,0.7071067690849304,0.0,0.0,0.0
0.0,0.1096000000834465,0.0,0.0,0.0,0.7933533191680908,0.6087614297866821,0.0,0.0,0.0
0.0,0.10894999653100967,0.0,0.0,0.0,0.8660253882408142,0.5,0.0,0.0,0.0
0.0,0.1096000000834465,0.0,0.0,0.0,0.9238795042037964,0.3826834261417389,0.0,0.0,0.0
0.0,0.10894999653100967,0.0,0.0,0.0,0.9659258127212524,0.258819043636322,0.0,0.0,0.0
0.0,0.10975000262260437,0.0,0.0,0.0,0.9914448857307434,0.13052618503570557,0.0,0.0,0.0
0.0,0.10975000262260437,0.0,0.0,0.0,1.0,6.123234262925839e-17,0.0,0.0,0.0
0.0,0.10930000245571136,0.0,0.0,0.0,0.9914448857307434,-0.13052618503570557,0.0,0.0,0.0
0.0,0.11270000040531158,0.0,0.0,0.0,0.9659258127212524,-0.258819043636322,0.0,0.0,0.0
0.036269307136535645,0.11490000039339066,0.0,0.0,0.0,0.9238795042037964,-0.3826834261417389,-0.0729999989271164,0.0,1.66693739568
0.07975610345602036,0.11640000343322754,0.0,0.0182499997317791,0.029249751940369606,0.8660253882408142,-0.5,0.0729999989271164,5.42424,5.38038152808
0.1617571860551834,0.11420000344514847,0.0,0.0,0.06915448606014252,0.7933533191680908,-0.6087614297866821,0.0,12.8244,12.76944971604
0.21549223363399506,0.1067499965429306,0.0,0.0,0.11877468228340149,0.7071067690849304,-0.7071067690849304,0.0,22.02625,21.97096819324
0.2992999255657196,0.08604999631643295,0.0,0.0,0.17436395585536957,0.6087614297866821,-0.7933533191680908,0.0,32.33504,32.27287181826
0.3684103786945343,0.06674999743700027,0.0,0.0,0.2274196594953537,0.5,-0.8660253882408142,0.0,42.173989999999996,42.10942901766
0.4206323027610779,0.062300000339746475,0.0,0.0,0.28392601013183594,0.3826834261417389,-0.9238795042037964,0.0,52.65285,52.59158614548
0.5031822323799133,0.05000000074505806,0.0,0.0,0.3381737172603607,0.258819043636322,-0.9659258127212524,0.0,62.71285,62.65523122548
0.4743114113807678,0.009399999864399433,0.0,0.0,0.34779441356658936,0.13052618503570557,-0.9914448857307434,0.0,64.49697,64.43864214212
0.522959291934967,0.004999999888241291,0.0,0.0,0.3480910062789917,1.2246468525851679e-16,-1.0,-0.9909999966621399,64.55197000000001,65.48456075112
0.5354444980621338,0.0001500000071246177,0.0,0.24774999916553497,0.3480910062789917,-0.13052618503570557,-0.9914448857307434,-1.0709999799728394,64.55197000000001,65.51668742184
0.5135231614112854,0.004999999888241291,0.0,0.515500009059906,0.3484199345111847,-0.258819043636322,-0.9659258127212524,-0.9660000205039978,64.61297000000002,66.54373373584001
0.5164560079574585,0.004999999888241291,0.0,0.7570000290870667,0.3487488925457001,-0.3826834261417389,-0.9238795042037964,-0.972000002861023,64.67397000000003,67.57664578384001
0.4579943120479584,0.012199999764561653,0.0,1.0,0.3704061210155487,-0.5,-0.8660253882408142,0.7300000190734863,68.69021000000002,69.81165796784
0.36508724093437195,0.009100000374019146,0.0,0.8174999952316284,0.3704061210155487,-0.6087614297866821,-0.7933533191680908,-0.7300000190734863,68.69021000000002,71.14057552690001
0.3450947701931,0.02500000037252903,0.0,1.0,0.389009952545166,-0.7071067690849304,-0.7071067690849304,0.0,72.14021000000002,74.59152313690001
0.22233180701732635,0.07509999722242355,0.0,1.0,0.42505231499671936,-0.7933533191680908,-0.6087614297866821,0.0,78.82411000000002,81.27037046898
0.14722774922847748,0.08749999850988388,0.0,1.0,0.4527962803840637,-0.8660253882408142,-0.5,0.0,83.96911000000001,86.42334175398
0.09243129193782806,0.09104999899864197,0.0,1.0,0.4709625244140625,-0.9238795042037964,-0.3826834261417389,0.0,87.33796000000001,89.78968929935999
0.02506214752793312,0.11540000140666962,0.0,1.0,0.47718536853790283,-0.9659258127212524,-0.258819043636322,0.0,88.49196,90.94655805103999
0.010416601784527302,0.11755000054836273,0.0,1.0,0.47984766960144043,-0.9914448857307434,-0.13052618503570557,0.0,88.98567,91.43634665356998
0.0,0.11540000140666962,0.0,1.0,0.47984766960144043,-1.0,-1.8369701465288538e-16,0.0,88.98567,91.43634665356998
0.0,0.11994999647140503,0.0,1.0,0.47984766960144043,-0.9914448857307434,0.13052618503570557,0.0,88.98567,91.43634665356998
0.0,0.12049999833106995,0.0,1.0,0.7397620677947998,-0.9659258127212524,0.258819043636322,2.0,137.18567000000002,91.43634665356998
0.0,0.12065000087022781,0.0,0.5,1.0,-0.9238795042037964,0.3826834261417389,2.0,185.44567,91.43634665356998
0.0,0.11914999783039093,0.0,0.0,1.0,-0.8660253882408142,0.5,0.0,185.44567,91.43634665356998
0.0,0.11885000020265579,0.0,0.0,1.0,-0.7933533191680908,0.6087614297866821,0.0,185.44567,91.43634665356998
0.0,0.11630000174045563,0.0,0.0,1.0,-0.7071067690849304,0.7071067690849304,0.0,185.44567,91.43634665356998
0.0,0.11505000293254852,0.0,0.0,1.0,-0.6087614297866821,0.7933533191680908,0.0,185.44567,91.43634665356998
0.0,0.10975000262260437,0.0,0.0,1.0,-0.5,0.8660253882408142,0.0,185.44567,91.43634665356998
0.0,0.10930000245571136,0.0,0.0,1.0,-0.3826834261417389,0.9238795042037964,0.0,185.44567,91.43634665356998
0.0,0.10644999891519547,0.0,0.0,1.0,-0.258819043636322,0.9659258127212524,0.0,185.44567,91.43634665356998
0.0,0.1067499965429306,0.0,0.0,1.0,-0.13052618503570557,0.9914448857307434,0.0,185.44567,91.43634665356998
