date,hour,battery_soc,pvout,price,action,cumrev_agent,cumrev_dp,gap,gap_pct,cumrev_baseline
2022-09-01,0.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,,0.0
2022-09-01,0.5,0.0,0.0,22.87,0.0,0.0,0.0,0.0,,0.0
2022-09-01,1.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,,0.0
2022-09-01,1.5,0.0,0.0,20.16,0.0,0.0,0.0,0.0,,0.0
2022-09-01,2.0,0.0,0.0,20.16,0.0,0.0,0.0,0.0,,0.0
2022-09-01,2.5,0.0,0.0,20.49,0.0,0.0,0.0,0.0,,0.0
2022-09-01,3.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,,0.0
2022-09-01,3.5,0.0,0.0,20.53,0.0,0.0,0.0,0.0,,0.0
2022-09-01,4.0,0.0,0.0,20.45,0.0,0.0,0.0,0.0,,0.0
2022-09-01,4.5,0.0,0.0,20.53,0.0,0.0,0.0,0.0,,0.0
2022-09-01,5.0,0.0,0.0,20.84,0.0,0.0,0.0,0.0,,0.0
2022-09-01,5.5,0.0,0.008725786,21.32,0.0,0.18603375751999998,0.0,-0.18603375751999998,,0.18603375751999998
2022-09-01,6.0,0.0,0.035594525,21.24,0.0,0.94206146852,0.0,-0.94206146852,,0.94206146852
2022-09-01,6.5,0.0,0.138850704,20.84,0.0,3.8357101398799998,0.0,-3.8357101398799998,,3.8357101398799998
2022-09-01,7.0,0.0,0.245011243,21.89,0.0,9.199006249149999,0.0,-9.199006249149999,,9.199006249149999
2022-09-01,7.5,0.0,0.259357473,20.84,-0.25935748,9.199006249149999,0.0,-9.199006249149999,,14.60401598647
2022-09-01,8.0,0.2593574821949005,0.247701419,20.53,-0.24770142,9.199006249149999,0.0,-9.199006249149999,,19.68932611854
2022-09-01,8.5,0.5070589184761047,0.181503342,20.53,-0.18150334,9.19900627785256,0.0,-9.19900627785256,,23.415589729799997
2022-09-01,9.0,0.688562273979187,0.11999605,29.99,-0.11999605,9.199006322535421,0.0,-9.199006322535421,,27.014271269299996
2022-09-01,9.5,0.8085583448410034,0.289277997,34.1,-0.289132,9.203984853796365,0.0,-9.203984853796365,,36.878650967
2022-09-01,10.0,1.0976903438568115,0.411089043,38.55,1.0867373,66.945189417461,0.0,-66.945189417461,,52.72613357465
2022-09-01,10.5,0.010953068733215332,0.436975423,36.93,-0.43697435,66.94522916751978,0.0,-66.94522916751978,,68.86363594604
2022-09-01,11.0,0.44792741537094116,0.448955531,38.55,-0.44895357,66.94530480511034,0.0,-66.94530480511034,,86.17087166609001
2022-09-01,11.5,0.8968809843063354,0.513904787,41.39,-0.5138176,66.9489131291658,0.0,-66.9489131291658,,107.44139080002
2022-09-01,12.0,1.410698652267456,0.625234322,42.15,-0.62516147,66.95198388384514,27.5661,-39.385883883845146,-142.87796925878214,133.79501747232
2022-09-01,12.5,2.035860061645508,0.6913364,40.0,-0.6912885,66.9539010349682,27.5661,-39.3878010349682,-142.88492400074077,161.44847347232002
2022-09-01,13.0,2.7271485328674316,0.715363635,45.0,-0.7152876,66.95732144943429,59.7411,-7.216221449434286,-12.079157312862144,193.63983704732001
2022-09-01,13.5,3.4424362182617188,0.78249077,64.94,-0.55756015,81.56431618141384,110.52418,28.959863818586157,26.20228787816943,244.45478765112
2022-09-01,14.0,3.9999964237213135,0.941370046,65.5,-3.576271e-06,143.22381994866623,232.74718,89.52336005133375,38.46377861649441,306.11452566412
2022-09-01,14.5,4.0,0.924653531,65.43,-0.0,203.72390048199622,232.74718,29.02327951800376,12.469873756581611,366.61460619745
2022-09-01,15.0,4.0,1.091412566,67.1,-0.0,276.9576836605962,306.02038000000005,29.06269633940383,9.496980671484632,439.84838937604997
2022-09-01,15.5,4.0,0.746334819,67.1,-0.0,327.0367500154962,357.08348000000007,30.046729984503884,8.41448335400559,489.92745573095
2022-09-01,16.0,4.0,0.404505229,67.1,-0.0,354.17905088139617,384.79578,30.616729118603814,7.956617694353045,517.06975659685
2022-09-01,16.5,4.0,0.287131288,67.1,0.23973323,389.53166031080957,402.44308,12.911419689190438,3.2082598337112516,536.33626602165
2022-09-01,17.0,3.7602667808532715,0.169781032,67.94,1.9997644,536.9305798445246,549.87288,12.942300155475436,2.3536894846451486,547.8711893357299
2022-09-01,17.5,1.7605023384094238,0.095183537,67.31,1.7605023,661.8367961183329,690.88733,29.050533881667093,4.204814970578067,554.2779932111999
2022-09-01,18.0,0.0,0.007591613,67.1,0.0,662.3461933506329,691.22283,28.87663664936713,4.177616160242729,554.7873904434999
2022-09-01,18.5,0.0,0.006848807,67.1,0.0,662.8057483003329,691.5583300000001,28.75258169966719,4.157650982190784,555.2469453931999
2022-09-01,19.0,0.0,0.006070751,67.1,0.0,663.2130956924328,691.75963,28.546534307567185,4.126655137069387,555.6542927852998
2022-09-01,19.5,0.0,0.001842051,67.1,0.0,663.3366973145328,692.4306300000001,29.09393268546728,4.201710817655088,555.7778944073998
2022-09-01,20.0,0.0,0.0,65.5,0.0,663.3366973145328,692.4306300000001,29.09393268546728,4.201710817655088,555.7778944073998
2022-09-01,20.5,0.0,0.0,66.04,0.0,663.3366973145328,692.4306300000001,29.09393268546728,4.201710817655088,555.7778944073998
2022-09-01,21.0,0.0,0.0,65.0,0.0,663.3366973145328,692.4306300000001,29.09393268546728,4.201710817655088,555.7778944073998
